Film,Year,Director,Studio(s),Budget (est.),World wide gross (INR),World wide gross (USD),Gross in India (INR crore),Primary Language
Ghajini,2008,A. R. Murugadoss,Big Pictures,₹65 crore,₹189.19,22.7,158.33,Hindi
3 Idiots,2009,Rajkumar Hirani,Vinod Chopra Films,₹55 crore,₹460 crore,58,281.88,Hindi
Golmaal 3,2010,Rohit Shetty,Eros international,₹40 crore,₹169.09,20.29,147.69,Hindi
Dabangg,2010,Abhinav Kashyap,Arbaz Khan Productions,,₹221.14,26.54,192.89,Hindi
My Name Is Khan,2010,Karan Johar,Red Chillies Entertainment,₹85 crore,₹223.44,26.81,114.61,Hindi
Zindagi Na Milegi Dobara,2011,Zoya Akhtar,Eros international,,₹174.5,20.94,125.38,Hindi
Ready,2011,Anees bazmee,T-series,,₹186.02,22.32,166.36,Hindi
Ra.One,2011,Anubhav Sinha,Red chillies entertainment,125,₹203.95,24.47,158.74,Hindi
Bodyguard,2011,Siddique,Atul Agnihotri,,₹252.99,30.36,206.75,Hindi
Housefull 2,2012,Sajid Khan,Eros international,,₹179.15,21.5,147.22,Hindi
Talaash,2012,Reema Kagti,Reliance Entertainment,,₹180.83,21.7,129.72,Hindi
Barfi!,2012,Anurag Basu,UTV Motion Pictures,,₹188.36,22.6,155.76,Hindi
Agneepath,2012,Karan Malhotra,AA films,,₹190.26,22.83,159.72,Hindi
Rowdy Rathore,2012,Prabhu deva,Bhansali Productions,,₹203.39,24.41,185.07,Hindi
Jab Tak Hai Jaan,2012,Yash Raj Chopra,Yash Raj Films,,₹235.66,28.28,167.85,Hindi
Ek Tha Tiger,2012,Kabir Khan,Yash Raj Films,₹75 crore,₹334.39,40.6,276.08,Hindi
Dabangg 2,2012,Arbaaz Khan,stellar films,,₹253.54,30.42,215.28,Hindi
Bhaag Milkha Bhaag,2013,Rakeysh Omprakash Mehra,Viacom 18 Motion Pictures,₹41 crore,₹169.96,20.4,151.29,Hindi
Chennai Express,2013,Rohit Shetty,Red Chillies Entertainment,₹70 crore,₹424.54,52,315.46,
Race 2,2013,Abbas–Mustan,UTV Motion Pictures,,₹173.36,20.8,139.51,Hindi
Krrish 3,2013,Rakesh Roshan,Filmkraft Productions Pvt. Ltd,₹95 crore,₹393.37,47.2,340.17,Hindi
Dhoom 3,2013,Vijay Krishna Acharya,Yash Raj Films,₹100 crore,₹556 crore,101,364.45,Hindi
Goliyon Ki Raasleela Ram-leela,2013,Sanjay Leela Bhansali,Bhansali Productions,,₹207.33,24.88,161.57,Hindi
Yeh Jawaani Hai Deewani,2013,Ayan Mukerji,Dharma Productions,₹40 crore,₹319.6,38.35,261.9,Hindi
Happy New Year,2014,Farah Khan,Red Chillies Entertainment,₹150 crore,₹383.1,45.97,281.94,Hindi
PK,2014,Rajkumar Hirani,"Vinod Chopra Films
Rajkumar Hirani Films",₹122 crore,₹769.89 crore,126.15,473.33,Hindi
Ek Villain,2014,Mohit Suri,AA films,₹39 crore,₹169.62,20.35,146.69,Hindi
Jai Ho,2014,Sohail Khan,Sohail Khan Productions,,₹195.04,23.4,161.11,Hindi
Holiday - A Soldier Is Never Off Duty,2014,A. R. Murugadoss,Reliance Entertainment,,₹181.44,21.77,156.18,Hindi
Bang Bang!,2014,Siddharth Anand,Fox Star Studios,₹140 crore,₹340,41.3,251.43,Hindi
2 States,2014,Abhishek Varman,UTV Motion Pictures,,₹177.73,21.33,141.85,Hindi
Kick,2014,Sajid Nadiadwala,Nadiadwala Grandson,₹140 crore,₹402,48.9,322.01,Hindi
Singham Returns,2014,Rohit Shetty,"Reliance Entertainment
Ajay Devgn Films",,₹220.5,26.46,195.31,Hindi
Bajirao Mastani,2015,Sanjay Leela Bhansali,"Bhansali Productions
Eros International",₹145 crore,₹355.61,42.67,255.83,Hindi
Tanu Weds Manu Returns,2015,Aanand L.Rai,Colour Yellow productions,,₹255.3,30.64,209.44,Hindi
Bajrangi Bhaijaan,2015,Kabir Khan,"Salman Khan Films
Eros International",80,₹969 crore,151.05,444.92,Hindi
Dilwale,2015,Rohit Shetty,"Red Chillies Entertainment
Rohit Shetty Productions",₹75 crores,₹376.85,45.22,206.56,Hindi
Prem Ratan Dhan Payo,2015,Sooraj R. Barjatya,"Fox Star Studios
Rajshri Productions",75,₹388.48,46.62,291.89,Hindi
Sultan,2016,Ali Abbas Zafar,Yash Raj Films,₹90 crore,₹623.33 crore,75.7,417.29,Hindi
M.S. Dhoni - The Untold Story,2016,Neeraj Pandey,Fox Star Studios,₹104 crore,₹215.4,25.85,184.78,Hindi
Rustom,2016,Tinu Suresh Desai,Cape of good films,,₹218.12,26.17,177.07,Hindi
Fan,2016,Maneesh Sharma,Yash Raj Films,,₹182.33,21.88,116.81,Hindi
Ae Dil Hai Mushkil,2016,Karan Johar,Dharma Productions,,₹239.67,28.76,156.22,Hindi
Housefull 3,2016,farhad samji,Nadiadwala Grandson Entertainment,,₹194.48,23.34,151.58,Hindi
Airlift,2016,Raja Krishna Menon,"T-series, Emmy entertainment",,₹221.67,26.6,177.92,Hindi
Dangal,2016,Nitesh Tiwari,"Aamir Khan Productions
UTV Motion Pictures
Walt Disney Studios India",₹70 crore,2024,317,538.03,Hindi
Secret Superstar,2017,Advait Chandan,Aamir Khan Productions,₹15 crore,₹966.86 crore,154,81.28,Hindi
Baahubali 2: The Conclusion,2017,S. S. Rajamouli,Arka Media Works,₹250 crore,1810,217.27,1416.9,"Telugu
Tamil"
Tubelight,2017,Kabir Khan,Salman Khan FIlms,,₹211.14,25.34,165.64,Hindi
Judwaa 2,2017,David Dhawan,Nadiadwala Grandson,,₹217.75,26.13,177.71,Hindi
Hindi Medium,2017,Saket Chaudhary,T-Series,₹14 crore,₹323.3,39.2,,Hindi
Badrinath Ki Dulhania,2017,Shashank Khaitan,Fox Star studios,,₹200.45,24.05,162.06,Hindi
Jolly LLB 2,2017,Subhash Kapoor,Fox Star studios,,₹197.34,23.68,162.5,Hindi
Tiger Zinda Hai,2017,Ali Abbas Zafar,Yash Raj Films,125,₹565 crore,87.32,434.82,Hindi
