age,job,marital,education,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,y
30,blue-collar,married,basic.9y,yes,no,cellular,may,487,2,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
39,services,single,high.school,no,no,telephone,may,346,4,999,0,nonexistent,1.1,93.994,-36.4,5191,no
25,services,married,high.school,yes,no,telephone,jun,227,1,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
38,services,married,basic.9y,unknown,unknown,telephone,jun,17,3,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
47,admin.,married,university.degree,yes,no,cellular,nov,58,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
32,services,single,university.degree,no,no,cellular,sep,128,3,999,2,failure,-1.1,94.199,-37.5,4963.6,no
32,admin.,single,university.degree,yes,no,cellular,sep,290,4,999,0,nonexistent,-1.1,94.199,-37.5,4963.6,no
41,entrepreneur,married,university.degree,yes,no,cellular,nov,44,2,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
31,services,divorced,professional.course,no,no,cellular,nov,68,1,999,1,failure,-0.1,93.2,-42,5195.8,no
35,blue-collar,married,basic.9y,no,no,telephone,may,170,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
25,services,single,basic.6y,yes,no,cellular,jul,301,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
36,self-employed,single,basic.4y,no,no,cellular,jul,148,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
36,admin.,married,high.school,no,no,telephone,may,97,2,999,0,nonexistent,1.1,93.994,-36.4,5191,no
47,blue-collar,married,basic.4y,yes,no,telephone,jun,211,2,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
29,admin.,single,high.school,no,no,cellular,may,553,2,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
27,services,single,university.degree,no,no,cellular,jul,698,2,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
44,admin.,divorced,university.degree,no,no,cellular,jul,191,6,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
